theme,role,srgb,oklch_L,oklch_C,oklch_h
light,canvas,#F4F5F7,0.969953,0.002872,264.542
light,surface,#FBFCFD,0.990591,0.001703,247.839
light,subtle,#EBEEF1,0.947687,0.005168,247.879
light,ink,#272C32,0.290692,0.01306,253.023
light,muted,#525862,0.4587,0.017973,260.699
light,border,#D0D3D9,0.866291,0.00888,264.517
light,controlBorder,#717884,0.570876,0.020306,261.306
light,focusRing,#556887,0.514205,0.054568,260.063
light,primary,#526584,0.503741,0.054847,260.054
light,onPrimary,#FFFFFF,1.0,0.0,89.876
light,accent,#D3DEF1,0.898042,0.028653,261.474
light,onAccent,#38465B,0.390934,0.040206,258.333
light,hero,#E0E7F1,0.925582,0.015523,257.199
light,heroText,#272C32,0.290692,0.01306,253.023
light,heroMuted,#525862,0.4587,0.017973,260.699
light,success,#525862,0.4587,0.017973,260.699
light,successBg,#EBEEF1,0.947687,0.005168,247.879
light,warning,#7A5729,0.484226,0.077475,71.597
light,warningBg,#F5EDDF,0.948577,0.020495,81.781
light,danger,#9B4B46,0.511807,0.10789,25.222
light,dangerBg,#F8ECEA,0.951964,0.013322,28.867
light,info,#526584,0.503741,0.054847,260.054
light,infoBg,#E6EBF4,0.938882,0.013281,262.378
light,disabled,#E1E5EA,0.920286,0.008043,253.856
light,onDisabled,#62666D,0.509176,0.01212,261.768
light,onDanger,#FFFFFF,1.0,0.0,89.876
light,sectionBase,#FBFCFD,0.990591,0.001703,247.839
light,sectionSoft,#EBEEF1,0.947687,0.005168,247.879
light,sectionRaised,#E1E5EA,0.920286,0.008043,253.856
light,sectionDanger,#EBEEF1,0.947687,0.005168,247.879
light,sectionBorder,#D0D3D9,0.866291,0.00888,264.517
light,navSelected,#D3DEF1,0.898042,0.028653,261.474
light,onNavSelected,#38465B,0.390934,0.040206,258.333
dark,canvas,#1C1E22,0.234622,0.008252,264.404
dark,surface,#25282D,0.275871,0.010201,260.704
dark,subtle,#303339,0.320528,0.011451,264.401
dark,ink,#E4E6EA,0.924551,0.005818,264.531
dark,muted,#ABB0B7,0.755356,0.011486,256.708
dark,border,#464B53,0.411233,0.014885,259.817
dark,controlBorder,#868D97,0.640906,0.017041,257.222
dark,focusRing,#AAB8D0,0.779557,0.037636,261.272
dark,primary,#9EACC1,0.740355,0.034218,258.372
dark,onPrimary,#1B222E,0.250753,0.02507,261.072
dark,accent,#3E4859,0.399654,0.031633,260.992
dark,onAccent,#DDE2E9,0.911,0.010955,256.698
dark,hero,#333B48,0.35031,0.025189,260.085
dark,heroText,#E4E6EA,0.924551,0.005818,264.531
dark,heroMuted,#ABB0B7,0.755356,0.011486,256.708
dark,success,#B5BBC5,0.790402,0.015636,260.727
dark,successBg,#303339,0.320528,0.011451,264.401
dark,warning,#D6B88A,0.797506,0.069998,78.117
dark,warningBg,#3A3126,0.319436,0.022732,72.449
dark,danger,#E0AAA4,0.786223,0.064528,25.87
dark,dangerBg,#3C2C2D,0.311926,0.023758,14.336
dark,info,#AAB8D0,0.779557,0.037636,261.272
dark,infoBg,#333B48,0.35031,0.025189,260.085
dark,disabled,#393D44,0.358928,0.013258,261.735
dark,onDisabled,#A5A9AF,0.733426,0.009755,258.343
dark,onDanger,#302322,0.271259,0.020099,23.548
dark,sectionBase,#25282D,0.275871,0.010201,260.704
dark,sectionSoft,#303339,0.320528,0.011451,264.401
dark,sectionRaised,#393D44,0.358928,0.013258,261.735
dark,sectionDanger,#303339,0.320528,0.011451,264.401
dark,sectionBorder,#464B53,0.411233,0.014885,259.817
dark,navSelected,#3E4859,0.399654,0.031633,260.992
dark,onNavSelected,#DDE2E9,0.911,0.010955,256.698
