kind,theme,foreground,background,ratio_unrounded,threshold,passed
rendered-text,light,#525862,#F4F5F7,6.567893327043468,4.5,True
rendered-text,light,#272C32,#F4F5F7,12.897422219407868,4.5,True
rendered-text,light,#526584,#F4F5F7,5.417489844220206,4.5,True
rendered-text,light,#525862,#E0E7F1,5.755664452701621,4.5,True
rendered-text,light,#38465B,#D3DEF1,7.055345756321904,4.5,True
rendered-text,light,#272C32,#E0E7F1,11.30244218402158,4.5,True
rendered-text,light,#FFFFFF,#526584,5.909785529709394,4.5,True
rendered-text,light,#272C32,#EBEEF1,12.08123444208394,4.5,True
rendered-text,light,#526584,#EBEEF1,5.074654747453711,4.5,True
rendered-text,light,#525862,#FBFCFD,6.975161931781295,4.5,True
rendered-text,light,#272C32,#FBFCFD,13.697178684754938,4.5,True
rendered-text,light,#272C32,#E1E5EA,11.119766367992822,4.5,True
rendered-text,light,#525862,#E1E5EA,5.662638477999324,4.5,True
rendered-text,light,#525862,#EBEEF1,6.152257228208644,4.5,True
rendered-text,light,#526584,#E6EBF4,4.940091568321612,4.5,True
rendered-text,light,#7A5729,#F5EDDF,5.604333172236333,4.5,True
rendered-text,light,#62666D,#E1E5EA,4.558821522074172,4.5,True
rendered-text,light,#9B4B46,#F8ECEA,5.2105905400050165,4.5,True
rendered-text,light,#526584,#FBFCFD,5.75342306057622,4.5,True
rendered-text,light,#526584,#E1E5EA,4.670795477103351,4.5,True
rendered-text,light,#9B4B46,#EBEEF1,5.168982556409685,4.5,True
rendered-text,dark,#ABB0B7,#1C1E22,7.6503154758177985,4.5,True
rendered-text,dark,#E4E6EA,#1C1E22,13.357056685643423,4.5,True
rendered-text,dark,#9EACC1,#1C1E22,7.252426150613947,4.5,True
rendered-text,dark,#ABB0B7,#333B48,5.175212745593512,4.5,True
rendered-text,dark,#DDE2E9,#3E4859,7.086742128429301,4.5,True
rendered-text,dark,#E4E6EA,#333B48,9.035654833014261,4.5,True
rendered-text,dark,#1B222E,#9EACC1,6.939787059933671,4.5,True
rendered-text,dark,#E4E6EA,#303339,10.134323238815321,4.5,True
rendered-text,dark,#9EACC1,#303339,5.5025918213671465,4.5,True
rendered-text,dark,#ABB0B7,#25282D,6.77817644188295,4.5,True
rendered-text,dark,#E4E6EA,#25282D,11.834346863956652,4.5,True
rendered-text,dark,#E4E6EA,#393D44,8.730467297672124,4.5,True
rendered-text,dark,#ABB0B7,#393D44,5.0004151850527885,4.5,True
rendered-text,light,#7A5729,#F4F5F7,5.973250027280261,4.5,True
rendered-text,light,#FFFFFF,#9B4B46,6.01963677046561,4.5,True
rendered-text,dark,#ABB0B7,#303339,5.804480113809899,4.5,True
rendered-text,dark,#AAB8D0,#333B48,5.632608099779942,4.5,True
rendered-text,dark,#D6B88A,#3A3126,6.7279481602810485,4.5,True
rendered-text,dark,#A5A9AF,#393D44,4.62044693429111,4.5,True
rendered-text,dark,#E0AAA4,#3C2C2D,6.574505701196368,4.5,True
rendered-text,dark,#9EACC1,#25282D,6.425646659405561,4.5,True
rendered-text,dark,#9EACC1,#393D44,4.740345933005759,4.5,True
rendered-text,dark,#E0AAA4,#303339,6.304946683191236,4.5,True
rendered-text,dark,#302322,#E0AAA4,7.526284073977322,4.5,True
rendered-text,dark,#D6B88A,#1C1E22,8.808271919089677,4.5,True
rendered-text,dark,#B5BBC5,#303339,6.56045626238202,4.5,True
rendered-icon,light,#525862,#F4F5F7,6.567893327043468,3.0,True
rendered-icon,light,#272C32,#FBFCFD,13.697178684754938,3.0,True
rendered-icon,light,#526584,#F4F5F7,5.417489844220206,3.0,True
rendered-icon,light,#526584,#FBFCFD,5.75342306057622,3.0,True
rendered-icon,light,#526584,#EBEEF1,5.074654747453711,3.0,True
rendered-icon,light,#526584,#E1E5EA,4.670795477103351,3.0,True
rendered-icon,light,#525862,#E1E5EA,5.662638477999324,3.0,True
rendered-icon,light,#38465B,#D3DEF1,7.055345756321904,3.0,True
rendered-icon,light,#525862,#FBFCFD,6.975161931781295,3.0,True
rendered-icon,light,#272C32,#E0E7F1,11.30244218402158,3.0,True
rendered-icon,light,#525862,#EBEEF1,6.152257228208644,3.0,True
rendered-icon,dark,#ABB0B7,#1C1E22,7.6503154758177985,3.0,True
rendered-icon,dark,#E4E6EA,#25282D,11.834346863956652,3.0,True
rendered-icon,dark,#9EACC1,#1C1E22,7.252426150613947,3.0,True
rendered-icon,dark,#9EACC1,#25282D,6.425646659405561,3.0,True
rendered-icon,dark,#9EACC1,#303339,5.5025918213671465,3.0,True
rendered-icon,dark,#9EACC1,#393D44,4.740345933005759,3.0,True
rendered-icon,dark,#ABB0B7,#393D44,5.0004151850527885,3.0,True
rendered-icon,dark,#DDE2E9,#3E4859,7.086742128429301,3.0,True
rendered-icon,dark,#ABB0B7,#25282D,6.77817644188295,3.0,True
rendered-icon,light,#7A5729,#F4F5F7,5.973250027280261,3.0,True
